                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.60723,                0.44182,                0.99262,                0.99212,                      1,                  0.995,                0.84528,                0.67177,                 0.3215,                0.98013,               0.006436,               0.006436,               0.006436
                     38,                0.59932,                0.42406,                0.96112,                0.99163,                      1,                  0.995,                0.80471,                0.74288,                 0.3508,                0.99366,               0.006337,               0.006337,               0.006337
                     39,                0.59067,                0.41137,                0.98403,                0.99158,                      1,                  0.995,                0.84675,                0.74755,                0.34892,                0.98819,               0.006238,               0.006238,               0.006238
                     40,                0.61673,                0.42549,                0.98829,                 0.9915,                      1,                  0.995,                 0.8301,                0.83022,                0.36368,                 1.1406,               0.006139,               0.006139,               0.006139
                     41,                0.61287,                0.48435,                0.99216,                0.99169,                      1,                  0.995,                0.83978,                0.73851,                0.37335,                 1.0074,                0.00604,                0.00604,                0.00604
                     42,                0.61958,                 0.4372,                0.99691,                0.99102,                      1,                  0.995,                0.83208,                0.67903,                0.35404,                0.96549,               0.005941,               0.005941,               0.005941
                     43,                0.61618,                0.48216,                 1.0045,                0.99153,                      1,                  0.995,                0.83218,                0.73488,                0.37991,                0.97664,               0.005842,               0.005842,               0.005842
                     44,                0.63972,                0.42998,                  1.012,                0.99125,                      1,                  0.995,                0.85957,                0.66847,                0.35761,                0.95386,               0.005743,               0.005743,               0.005743
                     45,                 0.5954,                0.41053,                0.99548,                0.99158,                      1,                  0.995,                0.84186,                0.72903,                0.36303,                0.95372,               0.005644,               0.005644,               0.005644
                     46,                0.62567,                0.43252,                0.99549,                0.99137,                      1,                  0.995,                0.87923,                0.61694,                0.37919,                0.93644,               0.005545,               0.005545,               0.005545
                     47,                0.60191,                0.44356,                 1.0032,                0.99157,                      1,                  0.995,                0.87871,                0.59177,                0.34052,                0.90957,               0.005446,               0.005446,               0.005446
                     48,                0.60617,                0.45783,                0.99888,                0.99174,                      1,                  0.995,                 0.8955,                 0.5848,                0.30609,                0.90273,               0.005347,               0.005347,               0.005347
                     49,                0.59536,                0.42246,                0.97782,                0.99167,                      1,                  0.995,                0.86585,                0.68516,                0.37063,                0.92408,               0.005248,               0.005248,               0.005248
                     50,                0.54886,                 0.3921,                0.96411,                0.99149,                      1,                  0.995,                0.90235,                0.70124,                0.40219,                 0.9225,               0.005149,               0.005149,               0.005149
                     51,                0.61247,                0.40238,                 1.0065,                0.99155,                      1,                  0.995,                0.83222,                 0.7457,                0.42644,                 1.0061,                0.00505,                0.00505,                0.00505
                     52,                0.56482,                0.40012,                0.97923,                0.99165,                      1,                  0.995,                0.85032,                 0.6411,                0.33922,                0.93077,               0.004951,               0.004951,               0.004951
                     53,                0.55738,                0.37792,                0.95158,                0.99173,                      1,                  0.995,                0.85555,                0.64863,                0.34716,                0.93807,               0.004852,               0.004852,               0.004852
                     54,                0.57069,                0.40644,                0.97162,                0.99164,                      1,                  0.995,                0.85823,                0.69526,                0.34464,                0.96605,               0.004753,               0.004753,               0.004753
                     55,                0.54919,                0.37811,                0.96887,                0.99187,                      1,                  0.995,                0.85195,                 0.6977,                0.29703,                0.97732,               0.004654,               0.004654,               0.004654
                     56,                0.56808,                0.38821,                0.96531,                0.99206,                      1,                  0.995,                0.84056,                 0.7193,                0.37408,                0.98225,               0.004555,               0.004555,               0.004555
                     57,                0.55282,                0.38642,                0.96733,                0.99186,                      1,                  0.995,                0.88177,                0.59165,                0.30259,                0.93904,               0.004456,               0.004456,               0.004456
                     58,                0.56097,                0.38218,                0.96996,                      1,                      1,                  0.995,                0.81654,                 0.6853,                0.35695,                 0.9716,               0.004357,               0.004357,               0.004357
                     59,                0.57235,                0.37769,                0.96469,                      1,                      1,                  0.995,                0.88737,                0.66428,                0.34587,                0.97002,               0.004258,               0.004258,               0.004258
                     60,                0.56136,                0.38584,                0.98386,                      1,                      1,                  0.995,                0.84451,                0.74388,                0.27775,                  1.053,               0.004159,               0.004159,               0.004159
                     61,                0.53316,                0.36179,                0.97146,                      1,                      1,                  0.995,                0.84407,                0.76616,                0.30382,                 1.0614,                0.00406,                0.00406,                0.00406
                     62,                0.59347,                 0.3943,                 1.0137,                      1,                      1,                  0.995,                 0.8698,                0.74429,                0.28619,                 1.0756,               0.003961,               0.003961,               0.003961
                     63,                0.53584,                0.39067,                0.97386,                      1,                      1,                  0.995,                0.84608,                0.75631,                0.32322,                 1.0655,               0.003862,               0.003862,               0.003862
                     64,                0.52253,                0.35522,                0.94021,                      1,                      1,                  0.995,                0.83952,                0.78653,                  0.334,                 1.1208,               0.003763,               0.003763,               0.003763
                     65,                0.54923,                0.36349,                0.96428,                0.99181,                      1,                  0.995,                0.85985,                0.69854,                0.26896,                 1.0635,               0.003664,               0.003664,               0.003664
